Concept,Description,Cleaned_Description,References
 INTRODUCTION,"Project Management Institute PMI practice standards are guides to the use of a tool, technique, or process identified in A Guide to the Project Management Body of Knowledge PMBOK Guide Fourth Edition or other PMI standards. Practice standards are targeted at audiences who participate in the management of projects. This includes project managers, project personnel, contract personnel, supervisors, and other project stakeholders. A PMI practice standard describes processes, activities, inputs, and outputs for a specific Knowledge Area. It provides information on what the significant process, tool, or technique is, what it does, why it is significant, when it should be performed or executed, and, if necessary for further clarification, who should perform the process. A practice standard does not prescribe how the process is to be implemented, leaving that subject for other forums such as handbooks, manuals, and courses.",project management institute pmi practice standard guide use tool technique process identified guide project management body knowledge pmbok guide fourth edition pmi standards. practice standard targeted audience participate management projects. includes project manager project personnel contract personnel supervisor project stakeholders. pmi practice standard describes process activity input output specific knowledge area. provides information significant process tool technique significant performed executed necessary clarification perform process. practice standard prescribe process implemented leaving subject forum handbook manual courses.,[]
 Purpose of the Practice Standard for Project Risk Management,"The purpose of the Practice Standard for Project Risk Management is to a provide a standard for project management practitioners and other stakeholders that defines the aspects of Project Risk Management that are recognized as good practice on most projects most of the time and b provide a standard that is globally applicable and consistently applied. This practice standard has a descriptive purpose rather than one used for training or educational purposes. The Practice Standard for Project Risk Management covers risk management as it is applied to single projects only. Like the PMBOK Guide Fourth Edition, this practice standard does not cover risk in programs or portfolios of projects. Chapter 11 of the PMBOK Guide Fourth Edition, is the basis for the Practice Standard for Project Risk Management . This practice standard is consistent with that chapter, emphasizing the concepts and principles relating to Project Risk Management. It is aligned with other PMI practice standards. Figure 1-1 compares the purposes of this practice standard to those of the PMBOK Guide Fourth Edition and textbooks, handbooks, and courses. This practice standard is organized in three main sections 1. Introductory material including the framework, purpose, principles, context of, and introduction to Project Risk Management processes as defined in the PMBOK Guide Fourth Edition. 2. Principles underlying the six Project Risk Management processes in the PMBOK Guide Fourth Edition. The six processes are as follows Plan Risk Management, Identify Risks, Perform Qualitative Risk Analysis, Perform Quantitative Risk Analysis, Plan Risk Responses, and Monitor and Control Risks. Each of these six processes is described in a chapter that addresses the following four topics a purpose and objectives of the process b critical success factors for the process c tools and techniques for the process and d documenting the results of the process. 3. A glossary of terms which are used in this practice standard. This practice standard emphasizes those principles that are fundamental to effective, comprehensive, and successful Project Risk Management. These principles can and should be stated at a general level for several reasons 1. Principles are expected to be agreed upon now and to be valid in the future. While tools and techniques are constantly evolving, the principles have more stability and persistence. 2. Different projects, organizations, and situations will require different approaches to Project Risk Management. In particular, risk management is a discipline that contains a series of processes to apply to both large and small projects. Risk management will be more effective if its practice is tailored to the project and congruent with the organizational culture, processes and assets. There are many different ways of conducting risk management that may comply with the principles of Project Risk Management as presented in this practice standard. 3. The principles are applicable to projects carried out in a global context, re ecting the many business and organizational arrangements between participants, for example, joint ventures between commercial and national companies, government and non-government organizations, and the cross-cultural environment often found on these project teams. The principles described herein can be used as a check for an organizations processes. Practitioners can establish processes specific to their particular situation, project, or organization and then compare them with these principles, thus validating them against good Project Risk Management practice.",purpose practice standard project risk management provide standard project management practitioner stakeholder defines aspect project risk management recognized good practice project time b provide standard globally applicable consistently applied. practice standard descriptive purpose rather one used training educational purposes. practice standard project risk management cover risk management applied single project only. like pmbok guide fourth edition practice standard cover risk program portfolio projects. chapter 11 pmbok guide fourth edition basis practice standard project risk management . practice standard consistent chapter emphasizing concept principle relating project risk management. aligned pmi practice standards. figure 1-1 compare purpose practice standard pmbok guide fourth edition textbook handbook courses. practice standard organized three main section 1. introductory material including framework purpose principle context introduction project risk management process defined pmbok guide fourth edition. 2. principle underlying six project risk management process pmbok guide fourth edition. six process follows plan risk management identify risk perform qualitative risk analysis perform quantitative risk analysis plan risk response monitor control risks. six process described chapter address following four topic purpose objective process b critical success factor process c tool technique process documenting result process. 3. glossary term used practice standard. practice standard emphasizes principle fundamental effective comprehensive successful project risk management. principle stated general level several reason 1. principle expected agreed upon valid future. tool technique constantly evolving principle stability persistence. 2. different project organization situation require different approach project risk management. particular risk management discipline contains series process apply large small projects. risk management effective practice tailored project congruent organizational culture process assets. many different way conducting risk management may comply principle project risk management presented practice standard. 3. principle applicable project carried global context ecting many business organizational arrangement participant example joint venture commercial national company government non-government organization cross-cultural environment often found project teams. principle described herein used check organization processes. practitioner establish process specific particular situation project organization compare principle thus validating good project risk management practice.,['https://i.ibb.co/4JjwzCR/page-14-png-roi-0-1-00.jpg']
 Project Risk Management Definition,"The definition of Project Risk Management, as defined in the PMBOK Guide Fourth Edition, is the basis for this practice standard Project Risk Management includes the processes concerned with conducting risk management planning, identification, analysis, responses, and monitoring and control on a project. The PMBOK Guide Fourth Edition also states The objectives of Project Risk Management are to increase the probability and impact of positive events, and decrease the probability and impact of negative events in the project. In the PMBOK Guide Fourth Edition, project risk is an uncertain event or condition that, if it occurs, has a positive or negative effect on a projects objectives. Project objectives include scope, schedule, cost, and quality. Project Risk Management aims to identify and prioritize risks in advance of their occurrence, and provide action-oriented information to project managers. This orientation requires consideration of events that may or may not occur and are therefore described in terms of likelihood or probability of occurrence in addition to other dimensions such as their impact on objectives.",definition project risk management defined pmbok guide fourth edition basis practice standard project risk management includes process concerned conducting risk management planning identification analysis response monitoring control project. pmbok guide fourth edition also state objective project risk management increase probability impact positive event decrease probability impact negative event project. pmbok guide fourth edition project risk uncertain event condition occurs positive negative effect project objectives. project objective include scope schedule cost quality. project risk management aim identify prioritize risk advance occurrence provide action-oriented information project managers. orientation requires consideration event may may occur therefore described term likelihood probability occurrence addition dimension impact objectives.,[]
 Role of Project Risk Management in Project Management,"Project Risk Management is not an optional activity it is essential to successful project management. It should be applied to all projects and hence be included in project plans and operational documents. In this way, it becomes an integral part of every aspect of managing the project, in every phase and in every process group. Many of the project management processes address planning the project, from concept to final design and from procurement through daily management of execution and close-out. These processes often assume an unrealistic degree of certainty about the project and, therefore, they need to include treatment of project risks. Project Risk Management addresses the uncertainty in project estimates and assumptions. Therefore, it builds upon and extends other project management processes. For instance, project scheduling provides dates and critical paths based on activity durations and resource availability assumed to be known with certainty. Quantitative risk analysis explores the uncertainty in the estimated durations and may provide alternative dates and critical paths that are more realistic given the risks to the project. Project Risk Management is not a substitute for the other project management processes. On the contrary, Project Risk Management requires that these project management processes e.g. scheduling, budgeting, and change management be performed at the level of the best practices available. Project Risk Management adds the perspective of project risk to the outputs of those other processes and adds to their value by taking risk into account. For instance, risk management provides the basis upon which to estimate the amount of cost and schedule contingency reserves that are needed to cover risk response actions to a required level of confidence for meeting project objectives. There is a paradox about project risk that affects most projects. In the early stages of a project, the level of risk exposure is at its maximum but information on the project risks is at a minimum. This situation does not mean that a project should not go forward because little is known at that time. Rather, there may be different ways of approaching the project that have different risk implications. The more this situation is recognized, the more realistic the project plans and expectations of results will be. A risk management approach is applicable throughout a projects life cycle. The earlier in the project life cycle that the risks are recognized, the more realistic the project plans and expectations of results will be. Risk management continues to add value as project planning progresses and more information becomes available about all aspects and components of the project and its environment, such as stakeholders, scope, time, and cost, as well as the corresponding assumptions and constraints. The balance between project exibility and knowledge about project risk needs to be reviewed regularly and optimized as the plans develop. It is true that as the project plan becomes set with fundamental decisions, agreements, and contracts in place, the options for making substantial changes to capture opportunities or mitigate threats are reduced. During project execution, risk management processes monitor the changes the project undergoes for new risks that may emerge so that appropriate responses to them can be developed, as well as check for existing risks that are no longer plausible. Project Risk Management plays a role in providing realistic expectations for the completion dates and cost of the project even if there are few options for changing the future. Finally, throughout the project and during project closure, risk-related lessons are reviewed in order to contribute to organizational learning and support continuous improvement of Project Risk Management practice.",project risk management optional activity essential successful project management. applied project hence included project plan operational documents. way becomes integral part every aspect managing project every phase every process group. many project management process address planning project concept final design procurement daily management execution close-out. process often assume unrealistic degree certainty project therefore need include treatment project risks. project risk management address uncertainty project estimate assumptions. therefore build upon extends project management processes. instance project scheduling provides date critical path based activity duration resource availability assumed known certainty. quantitative risk analysis explores uncertainty estimated duration may provide alternative date critical path realistic given risk project. project risk management substitute project management processes. contrary project risk management requires project management process example. scheduling budgeting change management performed level best practice available. project risk management add perspective project risk output process add value taking risk account. instance risk management provides basis upon estimate amount cost schedule contingency reserve needed cover risk response action required level confidence meeting project objectives. paradox project risk affect projects. early stage project level risk exposure maximum information project risk minimum. situation mean project go forward little known time. rather may different way approaching project different risk implications. situation recognized realistic project plan expectation result be. risk management approach applicable throughout project life cycle. earlier project life cycle risk recognized realistic project plan expectation result be. risk management continues add value project planning progress information becomes available aspect component project environment stakeholder scope time cost well corresponding assumption constraints. balance project exibility knowledge project risk need reviewed regularly optimized plan develop. true project plan becomes set fundamental decision agreement contract place option making substantial change capture opportunity mitigate threat reduced. project execution risk management process monitor change project undergoes new risk may emerge appropriate response developed well check existing risk longer plausible. project risk management play role providing realistic expectation completion date cost project even option changing future. finally throughout project project closure risk-related lesson reviewed order contribute organizational learning support continuous improvement project risk management practice.,[]
 Good Risk Management Practice,"Project Risk Management is a valuable component of project management and it enhances the value of the other project management processes. As with all of these processes, Project Risk Management should be conducted in a manner consistent with existing organizational practices and policies. In addition, like the other processes involved in project management, Project Risk Management should be conducted in a way that is appropriate to the project. Project Risk Management should recognize the business challenges as well as the multi-cultural environment associated with an increasingly global environment including many joint venture projects and customers, suppliers, and workforces spread around the globe. Changes in the project management plan that result from the Project Risk Management process may require decisions at the appropriate level of management to reassign personnel, establish or modify budgets, make commitments to others outside the project, interact with regulators, and comply with the rules of accounting and law. Project Risk Management should be conducted in compliance with these internal and external requirements. Project Risk Management should always be conducted on an ethical basis, in keeping with the Project Management code of ethics or conduct. Honesty, responsibility, realism, professionalism and fair dealing with others are among the characteristics of successful Project Risk Management. Effective Project Risk Management benefits from robust communication and consultation with stakeholders. This enables agreement among stakeholders that Project Risk Management in general, and risk identification, analysis, and response, in particular, should be carried out in a realistic and objective way and should not be subject to political or other unreasonable influences. Project Risk Management should be conducted on all projects. The degree, level of detail, sophistication of tools, and amount of time and resources applied to Project Risk Management should be in proportion to the characteristics of the project under management and the value that they can add to the outcome. Thus, a large project that provides value to an important customer would theoretically require more resources, time, and attention to Project Risk Management than would a smaller, short-term, internal project that can be conducted in the background with a exible deadline. Each of the Project Risk Management processes should be scaled to be appropriate to the project under management during the Plan Risk Management process and reviewed periodically to determine if the decisions made in that process remain appropriate.",project risk management valuable component project management enhances value project management processes. process project risk management conducted manner consistent existing organizational practice policies. addition like process involved project management project risk management conducted way appropriate project. project risk management recognize business challenge well multi-cultural environment associated increasingly global environment including many joint venture project customer supplier workforce spread around globe. change project management plan result project risk management process may require decision appropriate level management reassign personnel establish modify budget make commitment others outside project interact regulator comply rule accounting law. project risk management conducted compliance internal external requirements. project risk management always conducted ethical basis keeping project management code ethic conduct. honesty responsibility realism professionalism fair dealing others among characteristic successful project risk management. effective project risk management benefit robust communication consultation stakeholders. enables agreement among stakeholder project risk management general risk identification analysis response particular carried realistic objective way subject political unreasonable influences. project risk management conducted projects. degree level detail sophistication tool amount time resource applied project risk management proportion characteristic project management value add outcome. thus large project provides value important customer would theoretically require resource time attention project risk management would smaller short-term internal project conducted background exible deadline. project risk management process scaled appropriate project management plan risk management process reviewed periodically determine decision made process remain appropriate.,[]
 Critical Success Factors for Project Risk Management,"Specific criteria for success of each Project Risk Management process are listed in the chapters dealing with those processes. The general criteria for success include Recognize the Value of Risk Management Project Risk Management should be recognized as a valuable discipline that provides a positive potential return on investment for organizational management, project stakeholders both internal and external, project management, and team members. Individual CommitmentResponsibility Project participants and stakeholders should all accept responsibility for undertaking risk-related activities as required. Risk management is everybodys responsibility. Open and Honest Communication Everyone should be involved in the Project Risk Management process. Any actions or attitudes that hinder communication about project risk reduce the effectiveness of Project Risk Management in terms of proactive approaches and effective decision-making. Organizational Commitment Organizational commitment can only be established if risk management is aligned with the organizations goals and values. Project Risk Management may require a higher level of managerial support than other project management disciplines because handling some of the risks will require approval of or responses from others at levels above the project manager. Risk Effort Scaled to Project Project Risk Management activities should be consistent with the value of the project to the organization and with its level of project risk, its scale, and other organizational constraints. In particular, the cost of Project Risk Management should be appropriate to its potential value to the project and the organization. Integration with Project Management Project Risk Management does not exist in a vacuum, isolated from other project management processes. Successful Project Risk Management requires the correct execution of the other project management processes. These critical success factors for Project Risk Management are illustrated in Figure 1-2.",specific criterion success project risk management process listed chapter dealing processes. general criterion success include recognize value risk management project risk management recognized valuable discipline provides positive potential return investment organizational management project stakeholder internal external project management team members. individual commitmentresponsibility project participant stakeholder accept responsibility undertaking risk-related activity required. risk management everybodys responsibility. open honest communication everyone involved project risk management process. action attitude hinder communication project risk reduce effectiveness project risk management term proactive approach effective decision-making. organizational commitment organizational commitment established risk management aligned organization goal values. project risk management may require higher level managerial support project management discipline handling risk require approval response others level project manager. risk effort scaled project project risk management activity consistent value project organization level project risk scale organizational constraints. particular cost project risk management appropriate potential value project organization. integration project management project risk management exist vacuum isolated project management processes. successful project risk management requires correct execution project management processes. critical success factor project risk management illustrated figure 1-2.,['https://i.ibb.co/McDk6GH/page-18-png-roi-0-0-96.jpg']
 Conclusion,The principles of Project Risk Management described in this practice standard should be appropriately applied based on the specifics of a project and the organizational environment. Project Risk Management provides benefits when it is implemented according to good practice principles and with organizational commitment to taking the decisions and performing actions in an open and unbiased manner.,principle project risk management described practice standard appropriately applied based specific project organizational environment. project risk management provides benefit implemented according good practice principle organizational commitment taking decision performing action open unbiased manner.,[]
 PRINCIPLES AND CONCEPTS,This chapter introduces the key ideas required to understand and apply Project Risk Management to projects following the approach described in Chapter 11 of the PMBOK Guide Fourth Edition. These principles and concepts are generally consistent with other approaches to Project Risk Management commonly used although the terminology may differ in some details. The execution of the Project Risk Management process is dealt with in subsequent chapters of this practice standard and so is not discussed here.,chapter introduces key idea required understand apply project risk management project following approach described chapter 11 pmbok guide fourth edition. principle concept generally consistent approach project risk management commonly used although terminology may differ details. execution project risk management process dealt subsequent chapter practice standard discussed here.,[]
 Definition of Project Risk,"The word risk is used in many ways in everyday language and in various specialist disciplines. Its use in the PMBOK Guide Fourth Edition is consistent with other risk management standards and process descriptions. The definition of project risk given in the PMBOK Guide Fourth Edition is as follows Project risk is an uncertain event or condition that, if it occurs, has a positive or a negative effect on a projects objectives. This definition includes two key dimensions of risk uncertainty and effect on a projects objectives. When assessing the importance of a project risk, these two dimensions must both be considered. The uncertainty dimension may be described using the term probability and the effect may be called impact though other descriptors are possible, such as likelihood and consequence. The definition of risk includes both distinct events which are uncertain but can be clearly described, and more general conditions which are less specific but also may give risk to uncertainty. The definition of project risk also encompasses uncertain events which could have a negative effect on a projects objectives, as well as those which could have a positive effect. These two types of risk are called, respectively, threats and opportunities. It is important to address both threats and opportunities within a unified Project Risk Management process. This allows for the gain of synergies and efficiencies such as addressing both in the same analyses and coordinating the responses to both if they overlap or can reinforce each other. 1 Risks are uncertain future events or conditions which may or may not occur, but which would matter if they did occur. It is important to distinguish risks from risk-related features, such as cause and effect. Causes are events or circumstances which currently exist or are certain to exist in the future and which might give rise to risks. Effects are conditional future events or conditions which would directly affect one or more project objectives if the associated risk occurs. The cause-risk-effect chain can be used in a structured risk statement or risk description to ensure that each of these three elements is properly described see Section 5.3. When a risk event occurs, it ceases to become uncertain. Threats which occur may be called issues or problems opportunities which occur may be called benefits. Both issuesproblems and benefits entail project management actions that are outside the scope of the Project Risk Management process.",word risk used many way everyday language various specialist disciplines. use pmbok guide fourth edition consistent risk management standard process descriptions. definition project risk given pmbok guide fourth edition follows project risk uncertain event condition occurs positive negative effect project objectives. definition includes two key dimension risk uncertainty effect project objectives. assessing importance project risk two dimension must considered. uncertainty dimension may described using term probability effect may called impact though descriptor possible likelihood consequence. definition risk includes distinct event uncertain clearly described general condition le specific also may give risk uncertainty. definition project risk also encompasses uncertain event could negative effect project objective well could positive effect. two type risk called respectively threat opportunities. important address threat opportunity within unified project risk management process. allows gain synergy efficiency addressing analysis coordinating response overlap reinforce other. 1 risk uncertain future event condition may may occur would matter occur. important distinguish risk risk-related feature cause effect. cause event circumstance currently exist certain exist future might give rise risks. effect conditional future event condition would directly affect one project objective associated risk occurs. cause-risk-effect chain used structured risk statement risk description ensure three element properly described see section 5.3. risk event occurs cease become uncertain. threat occur may called issue problem opportunity occur may called benefits. issuesproblems benefit entail project management action outside scope project risk management process.,[]
 Individual Risks and Overall Project Risk,"It is useful to consider project risk at two levels individual risks and overall project risk. Individual risks are specific events or conditions that might affect project objectives. An individual risk may positively or negatively affect one or more of the project objectives, elements, or tasks. Understanding individual risks can assist in determining how to apply effort and resources to enhance the chances of project success. Day-to-day Project Risk Management focuses on these individual risks in order to enhance the prospects of a successful project outcome. Overall project risk represents the effect of uncertainty on the project as a whole. Overall project risk is more than the sum of individual risks on a project, since it applies to the whole project rather than to individual elements or tasks. It represents the exposure of stakeholders to the implications of variations in project outcome. It is an important component of strategic decision-making, program and portfolio management, and project governance where investments are sanctioned or cancelled and priorities are set. At these higher levels, it is necessary to set realistic targets for the cost and duration of a project, establish the contingency reserve levels required to protect the project stakeholders, set appropriate project priorities, and judge whether the risk of overall success is increasing or decreasing as implementation advances.",useful consider project risk two level individual risk overall project risk. individual risk specific event condition might affect project objectives. individual risk may positively negatively affect one project objective element tasks. understanding individual risk assist determining apply effort resource enhance chance project success. day-to-day project risk management focus individual risk order enhance prospect successful project outcome. overall project risk represents effect uncertainty project whole. overall project risk sum individual risk project since applies whole project rather individual element tasks. represents exposure stakeholder implication variation project outcome. important component strategic decision-making program portfolio management project governance investment sanctioned cancelled priority set. higher level necessary set realistic target cost duration project establish contingency reserve level required protect project stakeholder set appropriate project priority judge whether risk overall success increasing decreasing implementation advances.,[]
